date,sent_score
2020-12-16,-2.4984864371071773
2020-12-17,-5.2648704009649645
2020-12-18,-0.12357190209719014
2020-12-19,-0.12357190209719014
2020-12-20,-0.12357190209719014
2020-12-21,-0.12357190209719014
2020-12-22,-0.12357190209719014
2020-12-23,-0.12357190209719014
2020-12-24,-0.12357190209719014
2020-12-25,-0.12357190209719014
2020-12-26,-0.12357190209719014
2020-12-27,-0.12357190209719014
2020-12-28,-0.12357190209719014
2020-12-29,-0.12357190209719014
2020-12-30,-0.12357190209719014
2020-12-31,-0.12357190209719014
2021-01-01,-0.12357190209719014
2021-01-02,-0.12357190209719014
2021-01-03,-0.12357190209719014
2021-01-04,-0.12357190209719014
2021-01-05,0.9333955557918701
2021-01-06,-0.12357190209719014
2021-01-07,0.5941220507904433
2021-01-08,-1.1022454742166905
